periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,2.6731,-0.0949,5.0581,2.6987
2.0,2.8557,0.0108,5.1082,2.7529
3.0,3.0241,0.1136,5.0744,2.9256
4.0,3.0308,0.0659,5.0497,2.9503
5.0,3.0603,0.0615,5.0201,2.9799
6.0,3.1202,0.0046,5.0804,2.9196
7.0,4.0055,0.1758,5.0862,2.9138
8.0,5.3904,1.941,5.5817,2.4183
9.0,6.1926,2.7251,5.9673,2.0327
10.0,6.265,2.6615,6.0206,1.9794
11.0,6.2301,2.69,6.005,1.995
12.0,6.1063,2.5841,5.9132,2.0868
13.0,5.6885,1.9983,5.709,2.291
14.0,5.3612,1.6126,5.6022,2.3978
15.0,5.2108,1.4639,5.5465,2.4535
16.0,5.1696,1.3944,5.5414,2.4586
17.0,5.1361,1.3692,5.5336,2.4664
18.0,4.7463,0.944,5.4474,2.5526
19.0,4.166,1.2353,5.8534,2.1466
20.0,4.0434,1.1836,5.8651,2.1349
21.0,3.9569,1.048,5.8103,2.1897
22.0,3.8492,0.9612,5.7269,2.2731
23.0,3.7915,0.8711,5.7125,2.2875
24.0,3.0832,0.0043,5.242,2.758
