periods,ngnode 1,ngnode 2,ngnode 3,ngnode 4
1.0,0.374,0.0,0.0,0.0
2.0,2.483,0.0,0.0,0.0
3.0,0.882,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
11.0,0.0,-0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
19.0,0.002,0.0,0.0,0.0
20.0,0.035,0.0,0.0,0.0
21.0,0.635,0.0,0.0,0.0
22.0,12.095,0.0,0.0,0.0
23.0,270.469,0.0,0.0,0.0
24.0,1125.472,0.0,0.0,0.0
