Parameter,Value
Power shedding cost MM (USD),0.0
Thermal variable cost MM (USD),0.191
Start-up and-Shut down MM (USD),0.003
Gas shedding cost MM (USD),0.0
Well Production MM (USD),2.673
Hidraulic Production MM (USD),0
Total cost MM (USD),2.867
Time seg,10.9117843
% viol conx gas flow max,20.606255502523478
