periods,Gsup_1,Gsup_2
1.0,2.578,7.757
2.0,2.866,7.861
3.0,3.138,8.0
4.0,3.097,8.0
5.0,3.122,8.0
6.0,3.125,8.0
7.0,4.181,8.0
8.0,7.331,8.0
9.0,8.918,8.0
10.0,8.927,8.0
11.0,8.92,8.0
12.0,8.69,8.0
13.0,7.687,8.0
14.0,6.974,8.0
15.0,6.675,8.0
16.0,6.564,8.0
17.0,6.505,8.0
18.0,5.69,8.0
19.0,5.401,8.0
20.0,5.227,8.0
21.0,5.005,8.0
22.0,4.81,8.0
23.0,4.663,8.0
24.0,3.088,8.0
