iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,2.8634,10.107,30.6045
2.0,2.8648,4.0903,26.159
3.0,2.8653,2.7139,23.5985
4.0,2.8669,2.0073,20.6063
