periods,gen G1,gen G2,gen G3
1.0,30.0,3.3632,30.0
2.0,0.0,3.4978,0.0
3.0,0.0,3.4151,0.0
4.0,0.0,3.3363,0.0
5.0,0.0,3.2837,0.0
6.0,0.0,3.4676,0.0
7.0,0.0,3.8879,0.0
8.0,0.0,4.0981,0.0
9.0,0.0,4.3421,30.0
10.0,0.0,4.5,77.2326
11.0,0.0,4.5,114.0102
12.0,0.0,4.5,124.5186
13.0,0.0,4.5,92.9943
14.0,0.0,4.4472,30.0
15.0,0.0,4.387,0.0
16.0,0.0,4.4396,0.0
17.0,0.0,4.3947,30.0
18.0,42.8982,4.4094,105.0
19.0,117.8982,4.5,180.0
20.0,67.6449,4.5,225.0
21.0,132.1365,4.5,150.0
22.0,57.1365,4.3095,75.0
23.0,0.0,4.3713,0.0
24.0,0.0,3.7723,0.0
