periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,0.0,0.0,0.0579,0.0
2.0,0.0067,0.0,0.0483,0.0
3.0,0.0149,0.0,0.0058,0.0165
4.0,0.0,0.0003,0.0,0.013
5.0,0.0,0.0004,0.0,0.0188
6.0,0.0,0.0011,0.0,0.0182
7.0,0.0,0.0033,0.0,0.0155
8.0,0.0,0.017,0.0,0.0157
9.0,0.0,0.0,0.0,0.0158
10.0,0.0,0.0,0.0,0.0197
11.0,0.0,0.0,0.0,0.0284
12.0,0.0,0.0,0.0182,0.0186
13.0,0.1078,0.0,0.0,0.003
14.0,0.0,0.0,0.0,0.0
15.0,0.0712,0.0,0.0202,0.0
16.0,0.0027,0.0,0.0592,0.0013
17.0,0.1174,0.0,0.0194,0.0
18.0,0.0539,0.0077,0.1146,0.0
19.0,0.0759,0.0138,0.0,0.0
20.0,0.0755,0.0118,0.0,0.0
21.0,0.0733,0.0094,0.0,0.0
22.0,0.0704,0.0078,0.0,0.0
23.0,0.0685,0.0069,0.0,0.0
24.0,0.0652,0.0,0.0715,0.0
