periods,Delta LP,ConsumSP
1.0,0.566,3.75
2.0,0.615,3.886
3.0,0.224,3.795
4.0,0.007,3.707
5.0,0.006,3.649
6.0,-0.015,3.853
7.0,-0.037,4.053
8.0,0.016,3.633
9.0,-0.955,3.321
10.0,-0.984,3.009
11.0,-0.358,3.117
12.0,-0.086,3.925
13.0,0.247,4.5
14.0,0.168,4.466
15.0,1.097,4.5
16.0,0.761,4.5
17.0,-2.184,4.395
18.0,-0.029,4.316
19.0,-0.014,4.5
20.0,0.05,4.5
21.0,0.031,4.5
22.0,0.03,4.205
23.0,0.011,4.29
24.0,0.092,3.999
