periods,Delta LP,ConsumSP
1.0,0.653,2.151
2.0,0.277,1.45
3.0,0.542,1.304
4.0,0.213,1.197
5.0,0.311,1.126
6.0,0.165,1.452
7.0,-0.326,1.985
8.0,0.235,2.257
9.0,0.182,3.061
10.0,-0.448,3.883
11.0,-0.235,4.227
12.0,-0.084,4.448
13.0,-0.022,4.089
14.0,0.147,3.253
15.0,0.495,2.891
16.0,0.064,2.966
17.0,0.02,3.109
18.0,0.056,4.448
19.0,-0.022,6.528
20.0,0.016,6.618
21.0,-0.026,6.498
22.0,-0.057,4.356
23.0,-2.176,3.069
24.0,0.261,2.176
