periods,pipe Comp1,pipe Comp2
1.0,0.0399,0.0139
2.0,0.0397,0.006
3.0,0.0393,0.0047
4.0,0.0396,0.0049
5.0,0.0395,0.0056
6.0,0.0396,0.0081
7.0,0.0402,0.0158
8.0,0.0397,0.0283
9.0,0.0397,0.0447
10.0,0.0405,0.0485
11.0,0.04,0.0473
12.0,0.0397,0.0439
13.0,0.0397,0.0368
14.0,0.0404,0.0318
15.0,0.0417,0.0305
16.0,0.0399,0.0285
17.0,0.0398,0.0294
18.0,0.0398,0.0327
19.0,0.0398,0.0415
20.0,0.0398,0.0392
21.0,0.0398,0.0378
22.0,0.0398,0.0271
23.0,0.0398,0.0095
24.0,0.0376,0.0138
