periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,1.8812,0.2621,4.1235,3.6788,8.0074,2.802,4.793
2.0,0.6038,0.318,3.9665,3.9331,7.9868,1.2229,4.4877
3.0,0.5098,0.2492,3.9105,3.8852,7.9512,0.9786,4.2912
4.0,0.5912,0.2407,3.9631,3.9261,7.9789,0.9981,4.5103
5.0,0.7038,0.2503,3.9539,3.8988,7.9648,1.14,4.5925
6.0,0.8036,0.3611,3.9827,3.9174,7.9807,1.6274,4.7531
7.0,1.3979,1.0727,4.0851,3.9855,8.0407,3.1712,5.5656
8.0,2.5604,2.023,4.1049,3.793,7.9858,5.7254,6.6464
9.0,4.2052,3.3419,4.3677,3.5442,7.9915,9.0317,8.1221
10.0,4.6274,3.469,4.6369,3.4816,8.0691,9.6796,8.3329
11.0,4.3865,3.1962,4.5766,3.4525,8.0176,9.4936,7.9613
12.0,4.0242,2.7837,4.5149,3.4553,7.9899,8.8183,7.3729
13.0,3.2207,2.164,4.3368,3.6219,7.9918,7.3863,6.7148
14.0,2.4635,1.861,4.1791,3.8548,8.0587,6.3857,6.5459
15.0,2.4879,1.7781,4.2807,3.911,8.1901,6.1589,6.5004
16.0,2.2543,1.7203,4.1186,3.8524,8.0121,5.7178,6.336
17.0,2.27,1.7562,4.1104,3.8506,8.0007,5.916,6.3806
18.0,2.8519,1.6816,4.3135,3.647,8.0,6.5866,5.9728
19.0,4.2091,2.0841,4.8209,3.1413,8.0,8.3402,5.7833
20.0,4.0309,1.8029,4.7965,3.1636,8.0,7.8682,5.4581
21.0,3.9039,1.6513,4.7661,3.194,8.0,7.5774,5.4297
22.0,2.3147,1.1092,4.2385,3.7199,8.0,5.3993,5.4289
23.0,0.2707,0.2116,4.1674,4.1639,8.0,1.8655,5.0965
24.0,1.2661,-0.0,3.8846,3.6725,7.7822,2.7578,5.203
