periods,UHp1,UHp2
1.0,0.211,1.528
2.0,0.288,1.638
3.0,0.365,1.749
4.0,0.439,1.86
5.0,0.515,1.974
6.0,0.587,2.084
7.0,0.65,2.187
8.0,0.696,2.267
9.0,0.686,2.213
10.0,0.636,2.133
11.0,0.586,2.054
12.0,0.555,1.985
13.0,0.567,1.979
14.0,0.601,2.039
15.0,0.633,2.099
16.0,0.615,2.044
17.0,0.545,1.955
18.0,0.473,1.865
19.0,0.401,1.775
20.0,0.329,1.685
21.0,0.257,1.595
22.0,0.185,1.505
23.0,0.113,1.415
24.0,0.15,1.5
