periods,pipe Comp1,pipe Comp2
1.0,7.9749,2.7858
2.0,7.9339,1.2002
3.0,7.8631,0.9493
4.0,7.9182,0.9806
5.0,7.8901,1.1178
6.0,7.9217,1.6112
7.0,8.0412,3.1667
8.0,7.932,5.6567
9.0,7.9433,8.9302
10.0,8.0977,9.7042
11.0,7.9953,9.4687
12.0,7.9402,8.7701
13.0,7.9438,7.3564
14.0,8.0769,6.3521
15.0,8.3384,6.1062
16.0,7.9844,5.6948
17.0,7.9616,5.8765
18.0,7.9603,6.5368
19.0,7.9602,8.3053
20.0,7.9602,7.8305
21.0,7.9602,7.5533
22.0,7.9602,5.411
23.0,7.9602,1.8961
24.0,7.5267,2.7576
