periods,Gsup_1,Gsup_2
1.0,2.804,8.0
2.0,1.239,8.0
3.0,1.003,8.0
4.0,1.011,8.0
5.0,1.157,8.0
6.0,1.636,8.0
7.0,3.16,8.0
8.0,5.766,8.0
9.0,9.088,8.0
10.0,9.607,8.0
11.0,9.471,8.0
12.0,8.823,8.0
13.0,7.379,8.0
14.0,6.388,8.0
15.0,6.181,8.0
16.0,5.712,8.0
17.0,5.926,8.0
18.0,6.604,8.0
19.0,8.334,8.0
20.0,7.867,8.0
21.0,7.564,8.0
22.0,5.36,8.0
23.0,1.825,8.0
24.0,2.744,8.0
